"x","y"
-5.95398,-1.46126e-24
-5.84792,-2.24369e-24
-5.64144,-1.41396e-22
-5.33862,-1.26037e-20
-5.00753,-6.70812e-22
-4.36301,-3.65097e-20
-3.14271,5.42085e-16
-1.54614,1.26755e-12
0.0504281,5.72331e-11
1.647,2.72059e-10
3.24357,6.54546e-10
4.84014,1.08215e-09
6.43671,1.64325e-09
8.03328,2.43702e-09
9.62985,3.57951e-09
11.2264,5.2127e-09
12.823,7.52375e-09
14.4196,1.07667e-08
16.0161,1.52773e-08
17.6127,2.14777e-08
19.2093,2.98979e-08
20.8058,4.11809e-08
22.4024,5.60961e-08
23.999,7.56119e-08
25.5955,1.0073e-07
27.1921,1.32788e-07
28.7887,1.73118e-07
30.3853,2.23364e-07
31.9818,2.84889e-07
33.5784,3.59996e-07
35.175,4.49978e-07
36.7715,5.5692e-07
38.3681,6.81547e-07
39.9647,8.25657e-07
41.5612,9.8949e-07
43.1578,1.17365e-06
44.7544,1.37836e-06
46.351,1.6031e-06
47.9475,1.84728e-06
49.5441,2.10983e-06
50.01,2.18971e-06

