"x","y"
-5.95398,1.22491e-10
-5.84493,1.26814e-10
-5.63264,1.35342e-10
-5.21938,1.52492e-10
-4.43696,1.87841e-10
-2.95556,2.69934e-10
-1.35899,3.90896e-10
0.237583,5.59889e-10
1.83415,7.93735e-10
3.43072,1.11485e-09
5.02729,1.55287e-09
6.62386,2.14601e-09
8.22043,2.9435e-09
9.817,4.0069e-09
11.4136,5.41126e-09
13.0101,7.25227e-09
14.6067,9.63576e-09
16.2033,1.27017e-08
17.7999,1.66295e-08
19.3964,2.16038e-08
20.993,2.78725e-08
22.5896,3.57246e-08
24.1861,4.55177e-08
25.7827,5.76651e-08
27.3793,7.26511e-08
28.9758,9.09301e-08
30.5724,1.13144e-07
32.169,1.39975e-07
33.7656,1.72208e-07
35.3621,2.10567e-07
36.9587,2.56034e-07
38.5553,3.09528e-07
40.1518,3.72068e-07
41.7484,4.44693e-07
43.345,5.28581e-07
44.9415,6.24337e-07
46.5381,7.33991e-07
48.1347,8.57681e-07
49.7313,9.9644e-07
50.01,1.02226e-06

