"x","y"
-5.95398,5.34974e-11
-5.84493,5.97725e-11
-5.63264,7.41889e-11
-5.21938,1.13534e-10
-4.43696,2.5012e-10
-2.95556,7.20617e-10
-1.35899,1.47061e-09
0.237583,2.58405e-09
1.83415,4.24244e-09
3.43072,6.61241e-09
5.02729,9.87463e-09
6.62386,1.42721e-08
8.22043,2.00997e-08
9.817,2.77101e-08
11.4136,3.74884e-08
13.0101,4.98566e-08
14.6067,6.52654e-08
16.2033,8.41712e-08
17.7999,1.07086e-07
19.3964,1.34452e-07
20.993,1.66727e-07
22.5896,2.0427e-07
24.1861,2.47354e-07
25.7827,2.96302e-07
27.3793,3.51028e-07
28.9758,4.11604e-07
30.5724,4.77988e-07
32.169,5.49946e-07
33.7656,6.27234e-07
35.3621,7.09475e-07
36.9587,7.96516e-07
38.5553,8.87702e-07
40.1518,9.82536e-07
41.7484,1.08063e-06
43.345,1.18149e-06
44.9415,1.28475e-06
46.5381,1.38999e-06
48.1347,1.49682e-06
49.7313,1.60481e-06
50.01,1.62378e-06

