"x","y"
49.954,3.9157e-05
49.8479,3.89839e-05
49.6358,3.86382e-05
49.2228,3.79663e-05
48.419,3.66639e-05
46.8541,3.4149e-05
45.2575,3.16186e-05
43.661,2.91293e-05
42.0644,2.66882e-05
40.4678,2.43046e-05
38.8713,2.19874e-05
37.2747,1.97449e-05
35.6781,1.75873e-05
34.0816,1.55245e-05
32.485,1.35664e-05
30.8884,1.17254e-05
29.2918,1.00117e-05
27.6953,8.43835e-06
26.0987,7.0142e-06
24.5021,5.74776e-06
22.9056,4.64233e-06
21.309,3.69498e-06
19.7124,2.90039e-06
18.1159,2.24501e-06
16.5193,1.71328e-06
14.9227,1.28798e-06
13.3261,9.5218e-07
11.7296,6.90574e-07
10.133,4.9029e-07
8.53644,3.40595e-07
6.93987,2.32362e-07
5.3433,1.56918e-07
3.74673,1.05822e-07
2.15016,7.16045e-08
0.553588,4.85377e-08
-1.04298,3.27468e-08
-2.63955,2.17854e-08
-4.23612,1.4144e-08
-5.83269,8.85277e-09
-6.01,8.37994e-09

