"x","y"
-5.95398,3.23549e-09
-5.84493,3.36036e-09
-5.63264,3.62155e-09
-5.21938,4.21031e-09
-4.41492,5.78151e-09
-2.89179,1.20695e-08
-1.29522,3.34708e-08
0.301353,8.24622e-08
1.89792,1.46328e-07
3.49449,2.15969e-07
5.09106,2.88684e-07
6.68763,3.63448e-07
8.2842,4.39758e-07
9.88077,5.17306e-07
11.4773,5.9591e-07
13.0739,6.75433e-07
14.6705,7.55758e-07
16.2671,8.36799e-07
17.8636,9.18496e-07
19.4602,1.00078e-06
21.0568,1.08362e-06
22.6533,1.16693e-06
24.2499,1.25076e-06
25.8465,1.33502e-06
27.443,1.4197e-06
29.0396,1.50475e-06
30.6362,1.59015e-06
32.2328,1.67588e-06
33.8293,1.76192e-06
35.4259,1.84825e-06
37.0225,1.93484e-06
38.619,2.02173e-06
40.2156,2.10878e-06
41.8122,2.19608e-06
43.4087,2.28358e-06
45.0053,2.37127e-06
46.6019,2.45914e-06
48.1985,2.54717e-06
49.795,2.63537e-06
50.01,2.64725e-06

