"x","y"
-5.95398,3.65953e-10
-5.84493,3.77906e-10
-5.63264,4.02131e-10
-5.21938,4.53095e-10
-4.41492,5.68447e-10
-2.84888,8.68278e-10
-1.25231,1.31036e-09
0.344258,1.9492e-09
1.94083,2.87747e-09
3.5374,4.24218e-09
5.13397,6.248e-09
6.73054,9.10793e-09
8.32711,1.29165e-08
9.92368,1.77348e-08
11.5202,2.37455e-08
13.1168,3.12353e-08
14.7134,4.05553e-08
16.31,5.20882e-08
17.9065,6.62799e-08
19.5031,8.36106e-08
21.0997,1.04583e-07
22.6962,1.29808e-07
24.2928,1.59724e-07
25.8894,1.94921e-07
27.4859,2.35887e-07
29.0825,2.83017e-07
30.6791,3.36496e-07
32.2757,3.96224e-07
33.8722,4.62415e-07
35.4688,5.34561e-07
37.0654,6.12058e-07
38.6619,6.94339e-07
40.2585,7.81037e-07
41.8551,8.70967e-07
43.4516,9.63715e-07
45.0482,1.05847e-06
46.6448,1.15492e-06
48.2414,1.25211e-06
49.8379,1.34982e-06
50.01,1.36037e-06

