"x","y"
-5.95398,3.63549e-13
-5.84792,1.18803e-12
-5.6471,6.49983e-12
-5.2776,3.72392e-11
-4.63713,3.16961e-10
-3.49283,2.16882e-09
-1.89626,1.12722e-08
-0.29969,3.41997e-08
1.29688,7.30156e-08
2.89345,1.2845e-07
4.49002,1.9944e-07
6.08659,2.83891e-07
7.68316,3.79798e-07
9.27973,4.85492e-07
10.8763,5.99846e-07
12.4729,7.2181e-07
14.0694,8.50589e-07
15.666,9.85399e-07
17.2626,1.12556e-06
18.8592,1.27043e-06
20.4557,1.41942e-06
22.0523,1.57202e-06
23.6489,1.72778e-06
25.2454,1.88628e-06
26.842,2.04714e-06
28.4386,2.21008e-06
30.0351,2.37484e-06
31.6317,2.54118e-06
33.2283,2.7089e-06
34.8249,2.87783e-06
36.4214,3.04789e-06
38.018,3.21886e-06
39.6146,3.39068e-06
41.2111,3.56324e-06
42.8077,3.73647e-06
44.4043,3.9104e-06
46.0008,4.08488e-06
47.5974,4.25981e-06
49.194,4.43516e-06
50.01,4.52495e-06

