"x","y"
-5.95398,1.22717e-12
-5.84493,1.4088e-12
-5.63264,1.80747e-12
-5.23071,2.73163e-12
-4.46971,5.1743e-12
-3.0289,1.37087e-11
-1.43233,3.7296e-11
0.164239,1.02532e-10
1.76081,2.59112e-10
3.35738,5.45498e-10
4.95395,1.00206e-09
6.55052,1.7244e-09
8.14709,2.90105e-09
9.74366,4.85527e-09
11.3402,8.06888e-09
12.9368,1.31989e-08
14.5334,2.11642e-08
16.1299,3.33249e-08
17.7265,5.16716e-08
19.3231,7.88123e-08
20.9196,1.17344e-07
22.5162,1.68717e-07
24.1128,2.32919e-07
25.7094,3.09239e-07
27.3059,3.96953e-07
28.9025,4.95483e-07
30.4991,6.04366e-07
32.0956,7.23136e-07
33.6922,8.51251e-07
35.2888,9.88085e-07
36.8853,1.13283e-06
38.4819,1.28484e-06
40.0785,1.44339e-06
41.6751,1.60787e-06
43.2716,1.77748e-06
44.8682,1.95162e-06
46.4648,2.12977e-06
48.0613,2.31147e-06
49.6579,2.4962e-06
50.01,2.53732e-06

