"x","y"
49.954,9.50917e-06
49.8479,9.46665e-06
49.6358,9.38164e-06
49.2228,9.21644e-06
48.419,8.89567e-06
46.8541,8.27462e-06
45.2575,7.64642e-06
43.661,7.0251e-06
42.0644,6.41207e-06
40.4678,5.80905e-06
38.8713,5.21831e-06
37.2747,4.64246e-06
35.6781,4.0846e-06
34.0816,3.5484e-06
32.485,3.03788e-06
30.8884,2.55731e-06
29.2918,2.11117e-06
27.6953,1.70363e-06
26.0987,1.33833e-06
24.5021,1.01796e-06
22.9056,7.44238e-07
21.309,5.18098e-07
19.7124,3.40016e-07
18.1159,2.09981e-07
16.5193,1.248e-07
14.9227,7.45626e-08
13.3261,4.60152e-08
11.7296,2.92861e-08
10.133,1.89524e-08
8.53644,1.2282e-08
6.93987,7.87132e-09
5.3433,4.95451e-09
3.74673,3.06411e-09
2.15016,1.86943e-09
0.553588,1.12296e-09
-1.04298,6.54468e-10
-2.63955,3.59908e-10
-4.23612,1.80179e-10
-5.83269,7.91745e-11
-6.01,7.15609e-11

