"x","y"
49.954,1.85469e-05
49.8479,1.84209e-05
49.6358,1.81699e-05
49.2228,1.76848e-05
48.419,1.6755e-05
46.8541,1.5002e-05
45.2575,1.32967e-05
43.661,1.16813e-05
42.0644,1.01621e-05
40.4678,8.7453e-06
38.8713,7.43646e-06
37.2747,6.24108e-06
35.6781,5.165e-06
34.0816,4.21262e-06
32.485,3.38768e-06
30.8884,2.68852e-06
29.2918,2.10902e-06
27.6953,1.63901e-06
26.0987,1.26549e-06
24.5021,9.73654e-07
22.9056,7.48014e-07
21.309,5.74636e-07
19.7124,4.41776e-07
18.1159,3.39899e-07
16.5193,2.61496e-07
14.9227,2.00861e-07
13.3261,1.5385e-07
11.7296,1.17299e-07
10.133,8.8843e-08
8.53644,6.66959e-08
6.93987,4.95138e-08
5.3433,3.62399e-08
3.74673,2.607e-08
2.15016,1.84092e-08
0.553588,1.27938e-08
-1.04298,8.82705e-09
-2.63955,6.10449e-09
-4.23612,4.23878e-09
-5.83269,2.94249e-09
-6.01,2.82491e-09

