"x","y"
-5.95398,6.48334e-20
-5.84493,2.19475e-19
-5.63264,2.64638e-18
-5.23071,4.16769e-17
-4.55546,5.56899e-15
-3.31301,1.08833e-12
-1.71644,2.1144e-11
-0.119865,7.55192e-11
1.4767,1.53154e-10
3.07327,2.75016e-10
4.66984,4.6735e-10
6.26641,7.68023e-10
7.86298,1.2297e-09
9.45955,1.92486e-09
11.0561,2.95411e-09
12.6527,4.45065e-09
14.2493,6.58438e-09
15.8458,9.57298e-09
17.4424,1.37035e-08
19.039,1.93123e-08
20.6355,2.68512e-08
22.2321,3.68304e-08
23.8287,4.98222e-08
25.4253,6.66044e-08
27.0218,8.79038e-08
28.6184,1.14683e-07
30.215,1.47617e-07
31.8115,1.87623e-07
33.4081,2.35554e-07
35.0047,2.92046e-07
36.6012,3.57751e-07
38.1978,4.32961e-07
39.7944,5.17772e-07
41.391,6.11892e-07
42.9875,7.14794e-07
44.5841,8.258e-07
46.1807,9.44097e-07
47.7772,1.06879e-06
49.3738,1.19885e-06
50.01,1.25196e-06

