"x","y"
49.954,4.05962e-05
49.8479,4.04063e-05
49.6358,4.0027e-05
49.2228,3.92905e-05
48.419,3.78646e-05
46.8541,3.51202e-05
45.2575,3.23661e-05
43.661,2.96643e-05
42.0644,2.70212e-05
40.4678,2.44439e-05
38.8713,2.19404e-05
37.2747,1.9521e-05
35.6781,1.71956e-05
34.0816,1.49769e-05
32.485,1.28775e-05
30.8884,1.09122e-05
29.2918,9.09561e-06
27.6953,7.44165e-06
26.0987,5.9647e-06
24.5021,4.67376e-06
22.9056,3.57309e-06
21.309,2.65958e-06
19.7124,1.92223e-06
18.1159,1.34255e-06
16.5193,8.97497e-07
14.9227,5.6315e-07
13.3261,3.19388e-07
11.7296,1.55197e-07
10.133,6.53792e-08
8.53644,2.70458e-08
6.93987,1.07165e-08
5.3433,3.0919e-09
3.74673,5.59956e-10
2.15016,1.36288e-10
0.553588,2.5745e-11
-1.04298,1.31308e-12
-2.63955,1.27136e-13
-4.23612,1.03444e-15
-5.83269,2.16532e-18
-6.01,7.96741e-19

