"x","y"
49.954,3.40129e-05
49.8479,3.38555e-05
49.6414,3.35496e-05
49.2395,3.29555e-05
48.4571,3.18045e-05
46.934,2.95914e-05
45.3374,2.73104e-05
43.7408,2.5072e-05
42.1442,2.28804e-05
40.5477,2.07412e-05
38.9511,1.86604e-05
37.3545,1.66449e-05
35.758,1.47014e-05
34.1614,1.28409e-05
32.5648,1.10736e-05
30.9683,9.40856e-06
29.3717,7.85854e-06
27.7751,6.43781e-06
26.1785,5.16316e-06
24.582,4.04567e-06
22.9854,3.0923e-06
21.3888,2.30428e-06
19.7923,1.67459e-06
18.1957,1.1871e-06
16.5991,8.21042e-07
15.0026,5.54446e-07
13.406,3.65083e-07
11.8094,2.33873e-07
10.2128,1.4565e-07
8.61627,8.79705e-08
7.0197,5.1445e-08
5.42313,2.93376e-08
3.82656,1.63708e-08
2.22999,8.92665e-09
0.633423,4.73636e-09
-0.963147,2.41996e-09
-2.55972,1.19248e-09
-4.15629,5.64189e-10
-5.75286,2.56099e-10
-6.01,2.2453e-10

