"x","y"
49.954,5.13914e-05
49.8449,5.12559e-05
49.6268,5.09855e-05
49.2022,5.0459e-05
48.3757,4.94343e-05
46.7792,4.74558e-05
45.1826,4.54787e-05
43.586,4.35029e-05
41.9895,4.15289e-05
40.3929,3.95569e-05
38.7963,3.75868e-05
37.1997,3.562e-05
35.6032,3.36566e-05
34.0066,3.16972e-05
32.41,2.97427e-05
30.8135,2.77938e-05
29.2169,2.58521e-05
27.6203,2.39194e-05
26.0238,2.19978e-05
24.4272,2.00891e-05
22.8306,1.81975e-05
21.234,1.63269e-05
19.6375,1.44835e-05
18.0409,1.26745e-05
16.4443,1.09097e-05
14.8478,9.20208e-06
13.2512,7.56837e-06
11.6546,6.03021e-06
10.0581,4.61591e-06
8.46149,3.35941e-06
6.86492,2.29814e-06
5.26835,1.46255e-06
3.67178,8.59402e-07
2.07521,4.61916e-07
0.478637,2.20365e-07
-1.11793,8.59136e-08
-2.7145,2.38753e-08
-4.31107,3.64679e-09
-5.90764,8.68928e-11
-6.01,6.52273e-11

