"x","y"
49.954,3.22543e-05
49.8479,3.20935e-05
49.6358,3.17722e-05
49.2228,3.11479e-05
48.419,2.99362e-05
46.8541,2.76004e-05
45.2575,2.52494e-05
43.661,2.29366e-05
42.0644,2.06685e-05
40.4678,1.8452e-05
38.8713,1.62954e-05
37.2747,1.42106e-05
35.6781,1.22095e-05
34.0816,1.03087e-05
32.485,8.52972e-06
30.8884,6.89685e-06
29.2918,5.43373e-06
27.6953,4.16041e-06
26.0987,3.08674e-06
24.5021,2.21488e-06
22.9056,1.53713e-06
21.309,1.03287e-06
19.7124,6.74217e-07
18.1159,4.28261e-07
16.5193,2.63899e-07
14.9227,1.57263e-07
13.3261,9.00878e-08
11.7296,4.95835e-08
10.133,2.61696e-08
8.53644,1.33445e-08
6.93987,6.60019e-09
5.3433,3.21041e-09
3.74673,1.37558e-09
2.15016,2.52658e-10
0.553588,2.13656e-11
-1.04298,2.0872e-13
-2.63955,2.75703e-16
-4.23612,4.96893e-21
-5.83269,-2.99687e-21
-6.01,-3.25915e-21

