"x","y"
-5.95398,1.11827e-09
-5.84493,1.16385e-09
-5.63264,1.25672e-09
-5.21938,1.45366e-09
-4.41492,1.90703e-09
-2.89179,3.07532e-09
-1.29522,4.87986e-09
0.301353,7.50187e-09
1.89792,1.12327e-08
3.49449,1.64443e-08
5.09106,2.35989e-08
6.68763,3.32777e-08
8.2842,4.61988e-08
9.88077,6.32304e-08
11.4773,8.54201e-08
13.0739,1.14e-07
14.6705,1.50197e-07
16.2671,1.95562e-07
17.8636,2.51528e-07
19.4602,3.19638e-07
21.0568,4.01396e-07
22.6533,4.98235e-07
24.2499,6.11399e-07
25.8465,7.4131e-07
27.443,8.89211e-07
29.0396,1.05456e-06
30.6362,1.2376e-06
32.2328,1.43633e-06
33.8293,1.64972e-06
35.4259,1.87617e-06
37.0225,2.11329e-06
38.619,2.35899e-06
40.2156,2.6109e-06
41.8122,2.8668e-06
43.4087,3.12495e-06
45.0053,3.38362e-06
46.6019,3.6417e-06
48.1985,3.89813e-06
49.795,4.15241e-06
50.01,4.18644e-06

