"x","y"
-5.95398,2.64935e-11
-5.84493,2.84382e-11
-5.63264,3.259e-11
-5.21938,4.23689e-11
-4.41492,7.1275e-11
-2.89179,2.14515e-10
-1.29522,6.42367e-10
0.301353,1.38762e-09
1.89792,2.51077e-09
3.49449,4.22316e-09
5.09106,6.90865e-09
6.68763,1.11679e-08
8.2842,1.77869e-08
9.88077,2.76076e-08
11.4773,4.14533e-08
13.0739,6.02142e-08
14.6705,8.50289e-08
16.2671,1.17476e-07
17.8636,1.5973e-07
19.4602,2.14629e-07
21.0568,2.85524e-07
22.6533,3.75778e-07
24.2499,4.87948e-07
25.8465,6.23021e-07
27.443,7.80265e-07
29.0396,9.57724e-07
30.6362,1.15293e-06
32.2328,1.36346e-06
33.8293,1.58716e-06
35.4259,1.82223e-06
37.0225,2.0672e-06
38.619,2.32087e-06
40.2156,2.58225e-06
41.8122,2.85052e-06
43.4087,3.12499e-06
45.0053,3.40506e-06
46.6019,3.69021e-06
48.1985,3.98001e-06
49.795,4.27405e-06
50.01,4.31394e-06

