"x","y"
-5.95398,1.53838e-08
-5.84194,1.58658e-08
-5.62384,1.68531e-08
-5.19926,1.89812e-08
-4.37275,2.40967e-08
-2.77618,3.98597e-08
-1.17961,7.22831e-08
0.416961,1.47626e-07
2.01353,3.04579e-07
3.6101,5.37482e-07
5.20667,8.13237e-07
6.80324,1.11246e-06
8.39981,1.42607e-06
9.99638,1.74942e-06
11.593,2.0799e-06
13.1895,2.41593e-06
14.7861,2.75652e-06
16.3827,3.10099e-06
17.9792,3.44889e-06
19.5758,3.79985e-06
21.1724,4.1536e-06
22.7689,4.50995e-06
24.3655,4.86869e-06
25.9621,5.22968e-06
27.5587,5.59277e-06
29.1552,5.9578e-06
30.7518,6.32469e-06
32.3484,6.69337e-06
33.9449,7.06368e-06
35.5415,7.43553e-06
37.1381,7.80886e-06
38.7346,8.18355e-06
40.3312,8.55949e-06
41.9278,8.93668e-06
43.5244,9.31499e-06
45.1209,9.69436e-06
46.7175,1.00747e-05
48.3141,1.0456e-05
49.9106,1.08382e-05
50.01,1.0862e-05

