"x","y"
-5.95398,3.4507e-25
-5.84493,-2.44589e-23
-5.63264,-2.25854e-21
-5.23071,1.48041e-21
-4.46971,2.27793e-18
-3.11007,3.94318e-15
-1.5135,1.70071e-13
0.0830662,2.68708e-12
1.67964,1.08867e-11
3.27621,3.18165e-11
4.87278,6.65336e-11
6.46935,1.22945e-10
8.06592,2.14013e-10
9.66249,3.56813e-10
11.2591,5.75525e-10
12.8556,9.03945e-10
14.4522,1.39023e-09
16.0488,2.09896e-09
17.6453,3.11614e-09
19.2419,4.55274e-09
20.8385,6.55128e-09
22.435,9.29276e-09
24.0316,1.29891e-08
25.6282,1.78899e-08
27.2248,2.42919e-08
28.8213,3.25635e-08
30.4179,4.30847e-08
32.0145,5.6351e-08
33.611,7.27249e-08
35.2076,9.26688e-08
36.8042,1.16516e-07
38.4007,1.44597e-07
39.9973,1.77055e-07
41.5939,2.13996e-07
43.1905,2.55159e-07
44.787,3.00327e-07
46.3836,3.49074e-07
47.9802,4.00901e-07
49.5767,4.55245e-07
50.01,4.70354e-07

