"x","y"
-5.95398,2.70196e-13
-5.84493,3.21122e-13
-5.63264,4.34911e-13
-5.23071,7.03516e-13
-4.46971,1.44451e-12
-3.06949,4.42609e-12
-1.47292,1.65848e-11
0.123652,5.24791e-11
1.72022,1.22526e-10
3.31679,2.49281e-10
4.91336,4.91345e-10
6.50993,1.01161e-09
8.1065,2.30635e-09
9.70307,5.65166e-09
11.2996,1.34502e-08
12.8962,2.95471e-08
14.4928,5.64986e-08
16.0894,9.3039e-08
17.6859,1.37038e-07
19.2825,1.86999e-07
20.8791,2.41856e-07
22.4756,3.00797e-07
24.0722,3.63145e-07
25.6688,4.28337e-07
27.2653,4.95904e-07
28.8619,5.65455e-07
30.4585,6.36661e-07
32.0551,7.09254e-07
33.6516,7.83014e-07
35.2482,8.57744e-07
36.8448,9.33304e-07
38.4413,1.00955e-06
40.0379,1.0864e-06
41.6345,1.16374e-06
43.231,1.24152e-06
44.8276,1.31966e-06
46.4242,1.3981e-06
48.0208,1.47682e-06
49.6173,1.55578e-06
50.01,1.57523e-06

