"x","y"
-5.95398,7.58424e-11
-5.84493,8.05623e-11
-5.63264,9.0498e-11
-5.21938,1.13118e-10
-4.41492,1.74263e-10
-2.89179,4.28367e-10
-1.29522,1.76282e-09
0.301353,1.1076e-08
1.89792,2.98656e-08
3.49449,5.28007e-08
5.09106,7.80798e-08
6.68763,1.04981e-07
8.2842,1.33102e-07
9.88077,1.62182e-07
11.4773,1.92039e-07
13.0739,2.22529e-07
14.6705,2.53539e-07
16.2671,2.84982e-07
17.8636,3.1679e-07
19.4602,3.48905e-07
21.0568,3.81277e-07
22.6533,4.13866e-07
24.2499,4.46637e-07
25.8465,4.79566e-07
27.443,5.1263e-07
29.0396,5.45806e-07
30.6362,5.7908e-07
32.2328,6.12438e-07
33.8293,6.45868e-07
35.4259,6.79361e-07
37.0225,7.12909e-07
38.619,7.46503e-07
40.2156,7.8014e-07
41.8122,8.13813e-07
43.4087,8.47517e-07
45.0053,8.81248e-07
46.6019,9.1501e-07
48.1985,9.48787e-07
49.795,9.82584e-07
50.01,9.87135e-07

