"x","y"
49.954,4.62752e-06
49.8479,4.5838e-06
49.6414,4.49937e-06
49.2395,4.33784e-06
48.4571,4.03426e-06
46.934,3.48423e-06
45.3374,2.96625e-06
43.7408,2.50827e-06
42.1442,2.10794e-06
40.5477,1.76215e-06
38.9511,1.46624e-06
37.3545,1.21516e-06
35.758,1.00374e-06
34.1614,8.26597e-07
32.5648,6.7884e-07
30.9683,5.55925e-07
29.3717,4.53893e-07
27.7751,3.69317e-07
26.1785,2.99217e-07
24.582,2.41179e-07
22.9854,1.93147e-07
21.3888,1.53452e-07
19.7923,1.20702e-07
18.1957,9.38717e-08
16.5991,7.22525e-08
15.0026,5.52827e-08
13.406,4.22659e-08
11.8094,3.23888e-08
10.2128,2.48918e-08
8.61627,1.91696e-08
7.0197,1.47714e-08
5.42313,1.13697e-08
3.82656,8.72741e-09
2.22999,6.6716e-09
0.633423,5.07441e-09
-0.963147,3.83893e-09
-2.55972,2.88944e-09
-4.15629,2.16505e-09
-5.75286,1.61543e-09
-6.01,1.54049e-09

