"x","y"
-5.95398,8.33526e-09
-5.84493,8.51268e-09
-5.63264,8.86781e-09
-5.21938,9.59712e-09
-4.41492,1.11775e-08
-2.84888,1.49216e-08
-1.25231,1.98663e-08
0.344258,2.62447e-08
1.94083,3.44158e-08
3.5374,4.48276e-08
5.13397,5.79449e-08
6.73054,7.43336e-08
8.32711,9.46389e-08
9.92368,1.19537e-07
11.5202,1.49828e-07
13.1168,1.86348e-07
14.7134,2.30097e-07
16.31,2.81831e-07
17.9065,3.42591e-07
19.5031,4.13555e-07
21.0997,4.95308e-07
22.6962,5.89e-07
24.2928,6.95384e-07
25.8894,8.15407e-07
27.4859,9.49404e-07
29.0825,1.0982e-06
30.6791,1.26209e-06
32.2757,1.44127e-06
33.8722,1.63577e-06
35.4688,1.84575e-06
37.0654,2.07139e-06
38.6619,2.31098e-06
40.2585,2.56461e-06
41.8551,2.83156e-06
43.4516,3.11147e-06
45.0482,3.40344e-06
46.6448,3.70647e-06
48.2414,4.02005e-06
49.8379,4.3428e-06
50.01,4.3781e-06

