"x","y"
49.954,4.47118e-05
49.8449,4.45799e-05
49.6268,4.43161e-05
49.1906,4.37887e-05
48.3415,4.27634e-05
46.7449,4.08412e-05
45.1483,3.89264e-05
43.5518,3.70195e-05
41.9552,3.51209e-05
40.3586,3.32321e-05
38.762,3.13537e-05
37.1655,2.94869e-05
35.5689,2.76331e-05
33.9723,2.57936e-05
32.3758,2.39695e-05
30.7792,2.21638e-05
29.1826,2.03772e-05
27.5861,1.86126e-05
25.9895,1.68717e-05
24.3929,1.51584e-05
22.7963,1.34761e-05
21.1998,1.18295e-05
19.6032,1.02242e-05
18.0066,8.66794e-06
16.4101,7.17083e-06
14.8135,5.74623e-06
13.2169,4.41299e-06
11.6204,3.19774e-06
10.0238,2.14037e-06
8.42721,1.29959e-06
6.83064,7.24907e-07
5.23407,3.89431e-07
3.6375,2.06589e-07
2.04093,1.06742e-07
0.44436,5.26023e-08
-1.15221,2.45933e-08
-2.74878,1.07199e-08
-4.34535,4.02813e-09
-5.94192,1.16904e-09
-6.01,1.10092e-09

