"x","y"
-5.95398,1.47431e-13
-5.84493,1.73665e-13
-5.63846,2.2813e-13
-5.24753,3.50391e-13
-4.50739,6.76183e-13
-3.14553,1.86675e-12
-1.54896,4.50112e-12
0.047613,8.82977e-12
1.64418,1.58408e-11
3.24075,2.68944e-11
4.83732,4.38526e-11
6.43389,6.93164e-11
8.03046,1.06806e-10
9.62703,1.61243e-10
11.2236,2.39407e-10
12.8202,3.50546e-10
14.4167,5.07267e-10
16.0133,7.25044e-10
17.6099,1.02412e-09
19.2065,1.42766e-09
20.803,1.96644e-09
22.3996,2.67656e-09
23.9962,3.60356e-09
25.5927,4.79804e-09
27.1893,6.32544e-09
28.7859,8.25808e-09
30.3824,1.06827e-08
31.979,1.36996e-08
33.5756,1.74215e-08
35.1722,2.19644e-08
36.7687,2.748e-08
38.3653,3.41257e-08
39.9619,4.20434e-08
41.5584,5.14029e-08
43.155,6.23725e-08
44.7516,7.51128e-08
46.3481,8.97508e-08
47.9447,1.06398e-07
49.5413,1.25122e-07
50.01,1.31017e-07

