"x","y"
-5.95398,4.55644e-16
-5.84493,6.22441e-16
-5.63846,1.19428e-15
-5.24753,6.65052e-15
-4.52824,6.37387e-14
-3.31983,4.22403e-13
-1.72326,1.01972e-11
-0.126686,5.26095e-11
1.46988,2.42481e-10
3.06645,1.22838e-09
4.66302,3.51604e-09
6.25959,8.20305e-09
7.85616,1.82245e-08
9.45273,3.73718e-08
11.0493,6.77434e-08
12.6459,1.10947e-07
14.2424,1.69509e-07
15.839,2.46544e-07
17.4356,3.4505e-07
19.0322,4.67242e-07
20.6287,6.14168e-07
22.2253,7.85692e-07
23.8219,9.80745e-07
25.4184,1.19766e-06
27.015,1.43449e-06
28.6116,1.68919e-06
30.2081,1.95977e-06
31.8047,2.24439e-06
33.4013,2.54136e-06
34.9979,2.84918e-06
36.5944,3.16652e-06
38.191,3.49221e-06
39.7876,3.82524e-06
41.3841,4.16473e-06
42.9807,4.50991e-06
44.5773,4.86012e-06
46.1738,5.21479e-06
47.7704,5.57341e-06
49.367,5.93553e-06
50.01,6.08227e-06

