"x","y"
49.954,3.27991e-05
49.8449,3.2722e-05
49.6268,3.25679e-05
49.1906,3.22597e-05
48.3415,3.16599e-05
46.7449,3.05331e-05
45.1483,2.94077e-05
43.5518,2.82837e-05
41.9552,2.71615e-05
40.3586,2.6041e-05
38.762,2.49225e-05
37.1655,2.38062e-05
35.5689,2.26923e-05
33.9723,2.15812e-05
32.3758,2.04731e-05
30.7792,1.93684e-05
29.1826,1.82674e-05
27.5861,1.71707e-05
25.9895,1.60788e-05
24.3929,1.49924e-05
22.7963,1.39123e-05
21.1998,1.28394e-05
19.6032,1.17748e-05
18.0066,1.072e-05
16.4101,9.67674e-06
14.8135,8.64722e-06
13.2169,7.63436e-06
11.6204,6.64191e-06
10.0238,5.67476e-06
8.42721,4.73944e-06
6.83064,3.84457e-06
5.23407,3.00133e-06
3.6375,2.22387e-06
2.04093,1.52896e-06
0.44436,9.34785e-07
-1.15221,4.60021e-07
-2.74878,1.34004e-07
-4.34535,7.66295e-09
-5.94192,1.74863e-12
-6.01,1.05589e-12

