"x","y"
-5.95398,3.74976e-13
-5.84493,4.21852e-13
-5.63264,5.36669e-13
-5.23071,8.85157e-13
-4.46971,2.41255e-12
-3.0289,8.63125e-12
-1.43233,2.09231e-11
0.164239,4.56644e-11
1.76081,1.06992e-10
3.35738,2.72629e-10
4.95395,6.16241e-10
6.55052,1.18196e-09
8.14709,2.06222e-09
9.74366,3.44136e-09
11.3402,5.65585e-09
12.9368,9.2993e-09
14.5334,1.53555e-08
16.1299,2.52898e-08
17.7265,4.10408e-08
19.3231,6.50421e-08
20.9196,1.00389e-07
22.5162,1.50798e-07
24.1128,2.1983e-07
25.7094,3.0966e-07
27.3059,4.20467e-07
28.9025,5.51011e-07
30.4991,6.99479e-07
32.0956,8.64101e-07
33.6922,1.04325e-06
35.2888,1.23555e-06
36.8853,1.43973e-06
38.4819,1.65467e-06
40.0785,1.87935e-06
41.6751,2.11279e-06
43.2716,2.35416e-06
44.8682,2.60267e-06
46.4648,2.85757e-06
48.0613,3.1182e-06
49.6579,3.38401e-06
50.01,3.44332e-06

