"x","y"
-5.95398,2.81177e-09
-5.84493,2.89999e-09
-5.63264,3.08172e-09
-5.21938,3.47838e-09
-4.41492,4.46038e-09
-2.89179,7.66213e-09
-1.29522,1.5955e-08
0.301353,3.98303e-08
1.89792,8.57165e-08
3.49449,1.44865e-07
5.09106,2.13717e-07
6.68763,2.92179e-07
8.2842,3.80419e-07
9.88077,4.78223e-07
11.4773,5.84955e-07
13.0739,6.99804e-07
14.6705,8.2186e-07
16.2671,9.50077e-07
17.8636,1.08356e-06
19.4602,1.22152e-06
21.0568,1.36313e-06
22.6533,1.50779e-06
24.2499,1.65524e-06
25.8465,1.80471e-06
27.443,1.95596e-06
29.0396,2.10871e-06
30.6362,2.26275e-06
32.2328,2.41793e-06
33.8293,2.57402e-06
35.4259,2.73096e-06
37.0225,2.88854e-06
38.619,3.04677e-06
40.2156,3.20548e-06
41.8122,3.36472e-06
43.4087,3.52438e-06
45.0053,3.68444e-06
46.6019,3.84483e-06
48.1985,4.00554e-06
49.795,4.16655e-06
50.01,4.18824e-06

