"x","y"
-5.95398,6.05346e-11
-5.84493,6.22619e-11
-5.63264,6.57556e-11
-5.21938,7.30792e-11
-4.41492,8.95321e-11
-2.84888,1.31616e-10
-1.25231,1.92263e-10
0.344258,2.77374e-10
1.94083,3.95624e-10
3.5374,5.59087e-10
5.13397,7.83014e-10
6.73054,1.08687e-09
8.32711,1.49578e-09
9.92368,2.04149e-09
11.5202,2.76286e-09
13.1168,3.70873e-09
14.7134,4.93431e-09
16.31,6.51111e-09
17.9065,8.52981e-09
19.5031,1.10984e-08
21.0997,1.43512e-08
22.6962,1.84432e-08
24.2928,2.35505e-08
25.8894,2.99057e-08
27.4859,3.77665e-08
29.0825,4.74001e-08
30.6791,5.91713e-08
32.2757,7.34655e-08
33.8722,9.07446e-08
35.4688,1.11518e-07
37.0654,1.36349e-07
38.6619,1.65868e-07
40.2585,2.00751e-07
41.8551,2.41704e-07
43.4516,2.89508e-07
45.0482,3.4498e-07
46.6448,4.0897e-07
48.2414,4.82388e-07
49.8379,5.65946e-07
50.01,5.75597e-07

