"x","y"
-5.95398,3.8761e-11
-5.84493,4.07429e-11
-5.63264,4.46954e-11
-5.21938,5.27972e-11
-4.43696,6.97829e-11
-2.95556,1.09862e-10
-1.35899,1.70097e-10
0.237583,2.566e-10
1.83415,3.81144e-10
3.43072,5.56513e-10
5.02729,7.98699e-10
6.62386,1.12891e-09
8.22043,1.57541e-09
9.817,2.17444e-09
11.4136,2.97029e-09
13.0101,4.01973e-09
14.6067,5.384e-09
16.2033,7.14557e-09
17.7999,9.40707e-09
19.3964,1.22773e-08
20.993,1.59018e-08
22.5896,2.04471e-08
24.1861,2.6135e-08
25.7827,3.3181e-08
27.3793,4.18658e-08
28.9758,5.25168e-08
30.5724,6.54153e-08
32.169,8.09757e-08
33.7656,9.95627e-08
35.3621,1.21627e-07
36.9587,1.47621e-07
38.5553,1.78002e-07
40.1518,2.13129e-07
41.7484,2.53634e-07
43.345,2.99805e-07
44.9415,3.52202e-07
46.5381,4.10879e-07
48.1347,4.7625e-07
49.7313,5.48505e-07
50.01,5.61835e-07

