"x","y"
-5.95398,1.14851e-09
-5.84493,1.20502e-09
-5.63264,1.3204e-09
-5.21938,1.5667e-09
-4.41492,2.13881e-09
-2.89179,3.66472e-09
-1.29522,6.22363e-09
0.301353,1.0216e-08
1.89792,1.5195e-08
3.49449,2.11648e-08
5.09106,2.88828e-08
6.68763,3.90863e-08
8.2842,5.25691e-08
9.88077,7.03865e-08
11.4773,9.37651e-08
13.0739,1.24255e-07
14.6705,1.63715e-07
16.2671,2.14284e-07
17.8636,2.78427e-07
19.4602,3.58832e-07
21.0568,4.58323e-07
22.6533,5.79844e-07
24.2499,7.25353e-07
25.8465,8.97312e-07
27.443,1.09633e-06
29.0396,1.32347e-06
30.6362,1.57749e-06
32.2328,1.8577e-06
33.8293,2.16328e-06
35.4259,2.49147e-06
37.0225,2.84046e-06
38.619,3.20775e-06
40.2156,3.59127e-06
41.8122,3.98889e-06
43.4087,4.39951e-06
45.0053,4.819e-06
46.6019,5.24615e-06
48.1985,5.68036e-06
49.795,6.11966e-06
50.01,6.17914e-06

