"x","y"
49.954,1.78228e-05
49.8479,1.77672e-05
49.6358,1.76561e-05
49.2115,1.74339e-05
48.3856,1.70018e-05
46.7891,1.61682e-05
45.1925,1.53376e-05
43.5959,1.45107e-05
41.9994,1.36876e-05
40.4028,1.28691e-05
38.8062,1.20559e-05
37.2096,1.1249e-05
35.6131,1.04492e-05
34.0165,9.65784e-06
32.4199,8.87623e-06
30.8234,8.10588e-06
29.2268,7.34897e-06
27.6302,6.60725e-06
26.0337,5.8837e-06
24.4371,5.18131e-06
22.8405,4.50428e-06
21.2439,3.85609e-06
19.6474,3.24257e-06
18.0508,2.66979e-06
16.4542,2.14493e-06
14.8577,1.67537e-06
13.2611,1.26796e-06
11.6645,9.27827e-07
10.068,6.55556e-07
8.47139,4.46536e-07
6.87482,2.91804e-07
5.27825,1.80862e-07
3.68168,1.04119e-07
2.08511,5.3665e-08
0.488539,2.26292e-08
-1.10803,5.78958e-09
-2.7046,6.84781e-10
-4.30117,2.88589e-11
-5.89774,8.08575e-14
-6.01,3.62445e-14

