"x","y"
-5.95398,1.87399e-09
-5.84493,1.92264e-09
-5.63264,2.02109e-09
-5.21938,2.22633e-09
-4.43696,2.65787e-09
-2.95556,3.59816e-09
-1.35899,4.8521e-09
0.237583,6.46518e-09
1.83415,8.55509e-09
3.43072,1.12652e-08
4.22901,1.29065e-08
5.74043,1.66651e-08
7.337,2.17544e-08
8.93357,2.82947e-08
10.5301,3.66986e-08
12.1267,4.74561e-08
13.7233,6.11935e-08
15.3198,7.86972e-08
16.9164,1.01083e-07
18.513,1.2961e-07
20.1096,1.65922e-07
21.7061,2.11788e-07
23.3027,2.69381e-07
24.8993,3.41381e-07
26.4958,4.30605e-07
28.0924,5.39535e-07
29.689,6.70885e-07
31.2855,8.26828e-07
32.8821,1.00914e-06
34.4787,1.21893e-06
36.0753,1.45652e-06
37.6718,1.72126e-06
39.2684,2.01178e-06
40.865,2.3257e-06
42.4615,2.65951e-06
44.0581,3.00939e-06
45.6547,3.37174e-06
47.2512,3.74294e-06
48.8478,4.11945e-06
50.01,4.39535e-06

