"x","y"
-5.95398,6.89992e-18
-5.84493,1.07242e-17
-5.63846,1.77336e-17
-5.24753,3.73214e-17
-4.52824,1.28024e-16
-3.20474,5.40088e-15
-1.60817,4.27027e-14
-0.0115985,2.94954e-13
1.58497,3.46919e-12
3.18154,1.17634e-11
4.77811,3.48083e-11
6.37468,1.39294e-10
7.97125,4.9167e-10
9.56782,1.11836e-09
11.1644,2.14419e-09
12.761,3.87232e-09
14.3575,6.80318e-09
15.9541,1.156e-08
17.5507,1.87324e-08
19.1472,2.89305e-08
20.7438,4.30462e-08
22.3404,6.25215e-08
23.937,8.96161e-08
25.5335,1.27666e-07
27.1301,1.81088e-07
28.7267,2.54646e-07
30.3232,3.51794e-07
31.9198,4.73244e-07
33.5164,6.17156e-07
35.1129,7.80481e-07
36.7095,9.60109e-07
38.3061,1.15335e-06
39.9027,1.35804e-06
41.4992,1.57239e-06
43.0958,1.79502e-06
44.6924,2.02476e-06
46.2889,2.26066e-06
47.8855,2.50193e-06
49.4821,2.74791e-06
50.01,2.83019e-06

