"x","y"
-5.95398,3.82843e-09
-5.84493,4.02698e-09
-5.63264,4.43814e-09
-5.21938,5.34043e-09
-4.41492,7.54708e-09
-2.89179,1.37812e-08
-1.29522,2.39796e-08
0.301353,3.89836e-08
1.89792,6.03312e-08
3.49449,9.02187e-08
5.09106,1.31482e-07
6.68763,1.87272e-07
8.2842,2.60302e-07
9.88077,3.5203e-07
11.4773,4.62346e-07
13.0739,5.89903e-07
14.6705,7.32792e-07
16.2671,8.88992e-07
17.8636,1.05661e-06
19.4602,1.23394e-06
21.0568,1.41951e-06
22.6533,1.61204e-06
24.2499,1.81045e-06
25.8465,2.0138e-06
27.443,2.22132e-06
29.0396,2.43235e-06
30.6362,2.64635e-06
32.2328,2.86286e-06
33.8293,3.08151e-06
35.4259,3.30197e-06
37.0225,3.52395e-06
38.619,3.74726e-06
40.2156,3.97172e-06
41.8122,4.19713e-06
43.4087,4.42338e-06
45.0053,4.65033e-06
46.6019,4.87792e-06
48.1985,5.10605e-06
49.795,5.33466e-06
50.01,5.36546e-06

