"x","y"
-5.95398,1.59411e-19
-5.84493,-2.12923e-19
-5.63264,1.20782e-17
-5.23071,5.38945e-16
-4.55546,1.2025e-13
-3.42104,3.13019e-11
-1.82447,1.26165e-09
-0.227905,6.76938e-09
1.36867,2.27145e-08
2.96524,5.78212e-08
4.56181,1.21229e-07
6.15838,2.1085e-07
7.75495,3.16724e-07
9.35152,4.31782e-07
10.9481,5.5244e-07
12.5447,6.76878e-07
14.1412,8.04079e-07
15.7378,9.33414e-07
17.3344,1.06446e-06
18.9309,1.19692e-06
20.5275,1.33056e-06
22.1241,1.46522e-06
23.7206,1.60076e-06
25.3172,1.73705e-06
26.9138,1.874e-06
28.5104,2.01151e-06
30.1069,2.14954e-06
31.7035,2.28803e-06
33.3001,2.42693e-06
34.8966,2.56617e-06
36.4932,2.70575e-06
38.0898,2.8456e-06
39.6863,2.98572e-06
41.2829,3.12607e-06
42.8795,3.26663e-06
44.4761,3.40738e-06
46.0726,3.5483e-06
47.6692,3.68937e-06
49.2658,3.83058e-06
50.01,3.89645e-06

