"x","y"
49.954,3.12704e-05
49.8449,3.12018e-05
49.6268,3.10647e-05
49.1906,3.07906e-05
48.3415,3.02573e-05
46.7449,2.92563e-05
45.1483,2.82573e-05
43.5518,2.72605e-05
41.9552,2.62663e-05
40.3586,2.52747e-05
38.762,2.42862e-05
37.1655,2.3301e-05
35.5689,2.23193e-05
33.9723,2.13415e-05
32.3758,2.0368e-05
30.7792,1.9399e-05
29.1826,1.84352e-05
27.5861,1.74769e-05
25.9895,1.65245e-05
24.3929,1.55786e-05
22.7963,1.46398e-05
21.1998,1.37086e-05
19.6032,1.27855e-05
18.0066,1.18713e-05
16.4101,1.09666e-05
14.8135,1.0072e-05
13.2169,9.18836e-06
11.6204,8.31636e-06
10.0238,7.45686e-06
8.42721,6.6109e-06
6.83064,5.77977e-06
5.23407,4.96525e-06
3.6375,4.17001e-06
2.04093,3.39855e-06
0.44436,2.65897e-06
-1.15221,1.96689e-06
-2.74878,1.35193e-06
-4.34535,8.5942e-07
-5.94192,5.22211e-07
-6.01,5.1117e-07

