"x","y"
-5.95398,9.25562e-09
-5.84493,9.61785e-09
-5.63264,1.03795e-08
-5.21938,1.21136e-08
-4.41492,1.6818e-08
-2.89179,3.51928e-08
-1.29522,8.07729e-08
0.301353,1.49975e-07
1.89792,2.29033e-07
3.49449,3.16105e-07
5.09106,4.1282e-07
6.68763,5.20831e-07
8.2842,6.40912e-07
9.88077,7.73185e-07
11.4773,9.17309e-07
13.0739,1.07225e-06
14.6705,1.23693e-06
16.2671,1.41061e-06
17.8636,1.59181e-06
19.4602,1.77951e-06
21.0568,1.97309e-06
22.6533,2.17162e-06
24.2499,2.37449e-06
25.8465,2.58142e-06
27.443,2.79142e-06
29.0396,3.00424e-06
30.6362,3.21937e-06
32.2328,3.43666e-06
33.8293,3.65585e-06
35.4259,3.87675e-06
37.0225,4.0993e-06
38.619,4.32301e-06
40.2156,4.54799e-06
41.8122,4.77396e-06
43.4087,5.0011e-06
45.0053,5.22918e-06
46.6019,5.45811e-06
48.1985,5.68785e-06
49.795,5.91833e-06
50.01,5.94942e-06

