"x","y"
-5.95398,3.5135e-10
-5.84493,3.63583e-10
-5.63264,3.88035e-10
-5.21938,4.38293e-10
-4.43696,5.4463e-10
-2.95556,7.98081e-10
-1.35899,1.17737e-09
0.237583,1.71432e-09
1.83415,2.47103e-09
3.43072,3.51634e-09
5.02729,4.93392e-09
6.62386,6.83039e-09
8.22043,9.34227e-09
9.817,1.26418e-08
11.4136,1.69327e-08
13.0101,2.24696e-08
14.6067,2.95602e-08
16.2033,3.85727e-08
17.7999,4.99465e-08
19.3964,6.42322e-08
20.993,8.1999e-08
22.5896,1.0402e-07
24.1861,1.31052e-07
25.7827,1.64016e-07
27.3793,2.03813e-07
28.9758,2.51412e-07
30.5724,3.07772e-07
32.169,3.73908e-07
33.7656,4.50625e-07
35.3621,5.38894e-07
36.9587,6.38417e-07
38.5553,7.49647e-07
40.1518,8.72497e-07
41.7484,1.00683e-06
43.345,1.15209e-06
44.9415,1.30782e-06
46.5381,1.47301e-06
48.1347,1.64677e-06
49.7313,1.82826e-06
50.01,1.86067e-06

