"x","y"
-5.95398,6.49704e-09
-5.84194,6.61052e-09
-5.61786,6.84283e-09
-5.18165,7.31597e-09
-4.3325,8.32457e-09
-2.73593,1.05924e-08
-1.13936,1.34757e-08
0.457213,1.71788e-08
2.05378,2.19737e-08
3.65035,2.8139e-08
5.24692,3.59133e-08
6.84349,4.54066e-08
8.44006,5.66934e-08
10.0366,6.99204e-08
11.6332,8.53677e-08
13.2298,1.03506e-07
14.8263,1.24905e-07
16.4229,1.50151e-07
18.0195,1.80016e-07
19.6161,2.15307e-07
21.2126,2.56991e-07
22.8092,3.06009e-07
24.4058,3.63459e-07
26.0023,4.30497e-07
27.5989,5.08498e-07
29.1955,5.98178e-07
30.792,7.00911e-07
32.3886,8.17432e-07
33.9852,9.48878e-07
35.5818,1.09592e-06
37.1783,1.25849e-06
38.7749,1.43724e-06
40.3715,1.63195e-06
41.968,1.84193e-06
43.5646,2.06795e-06
45.1612,2.30868e-06
46.7577,2.5634e-06
48.3543,2.83278e-06
49.9509,3.114e-06
50.01,3.12469e-06

